No,Kategori Inventaris,Asset Name,Code,Serial Number,User,Username,Department,Condition,Date,Purchase Date,Updated By,Note
143,Phone,Iphone 8 - Black,028-B/VI/2023,FFMZN9JJN1N0,Unknown,,Unknown,Good,2026-09-14,2026-08-04,IT Administrator,-
144,Phone,Realme C2,029-B/VI/2023,RMX1941EX,Unknown,,Unknown,Good,2026-09-14,2026-08-04,IT Administrator,-
145,Phone,Samsung Galaxy A02 Black 3/32,030-B/VI/2023,RR8RC0AH8QT,Unknown,,Unknown,Good,2026-09-14,2026-03-11,IT Administrator,-
146,Phone,Samsung Galaxy A13Black 3/32,031-B/VI/2023,RRT407NRHK,Unknown,,Unknown,Good,2026-09-14,2026-08-03,IT Administrator,-
147,Phone,Samsung Galaxy A13Black 3/32,001-B/IV/2024,RR8T406QD4D,Unknown,,Unknown,Good,2026-09-14,2026-06-08,IT Administrator,-
148,Phone,Samsung Galaxy A13 Black 3/32,032-B/VI/2023,R9RT105XJ8A,Unknown,,Unknown,Good,2026-09-14,2026-06-18,IT Administrator,-
149,Phone,Samsung Galaxy A13 Black 4/128,005-B/VI/2023,RR8T406Q9CR,Unknown,,Unknown,Good,2026-09-14,2026-08-04,IT Administrator,-
150,Phone,Samsung Galaxy A04 4/64,024-B/VI/2022-2,R9CTA02748F,Unknown,,Unknown,Good,2024-07-12,2026-06-01,IT Administrator,-
151,Phone,Samsung Galaxy A04 4/64,025-B/VI/2022-2,R9CTA006XCP,Unknown,,Unknown,Good,2026-09-14,2026-08-07,IT Administrator,-
152,Phone,Samsung Galaxy A04 4/64,023-B/VI/2022-2,R9CTA05A73E,Unknown,,Unknown,Good,2026-09-14,2026-08-13,IT Administrator,-
153,Phone,Samsung Galaxy A04 4/64,027-B/VI/2022,R9CT901BGMX,Unknown,,Unknown,Good,2026-09-14,2026-07-02,IT Administrator,-
154,Phone,Samsung Galaxy A04 4/64,026-B/VI/2022-2,R9CTA025GJX,Unknown,,Unknown,Good,2026-09-14,2026-08-04,IT Administrator,-
155,Phone,Samsung Galaxy A02,006-B/VI/2023,RRBR9050HEW,Unknown,,Unknown,Good,2026-09-14,2026-07-23,IT Administrator,-
156,Phone,Samsung Galaxy A04 4/64 - GREEN,018-B/VI/2023,R9CW203LB0B,Unknown,,Unknown,Good,2023-06-05,2026-06-05,IT Administrator,-
157,Phone,Samsung Galaxy A04 4/64 - COPPER,019-B/VI/2023,R9CW400DSBY,Unknown,,Unknown,Good,2023-05-06,2026-07-29,IT Administrator,-
158,Phone,SAMSUNG GALAXY A04 - BLACK,059-B/VI/2023,R9CTA034CZE,Unknown,,Unknown,Good,2026-09-14,2026-08-07,IT Administrator,-
159,Phone,IPAD MINI,062-B/VI/2023,DMPCH056LMV8,Unknown,,Unknown,Good,2026-09-14,,IT Administrator,-
160,Phone,Samsung Galaxy A13,034-B/VI/2023,RR8T403239P,Unknown,,Unknown,Good,2026-09-14,2026-05-31,IT Administrator,-
161,Phone,HP Samsung Galaxy A12,040-B/VI/2023,RR8RC0DBX5T,Unknown,,Unknown,Good,2026-09-14,2026-07-29,IT Administrator,-
162,Phone,HP IPHONE X - Black,041-B/VI/2023,FK1XR7M6JCL8,Unknown,,Unknown,Good,2026-09-14,2026-05-07,IT Administrator,-
163,Phone,HP IPHONE SE - BLACK,042-B/VI/2023,RY6RX4TFJX,Unknown,,Unknown,Good,2026-09-14,2026-08-04,IT Administrator,-
164,Phone,HP SAMSUNG GALAXY A12,044-B/VI/2023,RR8RC02KEDP,Unknown,,Unknown,Good,2026-09-14,2026-06-04,IT Administrator,-
165,Phone,HP SAMSUNG GALAXY A04,049-B/VI/2023,R9CTA00MX8F,Unknown,,Unknown,Good,2026-09-14,2026-06-18,IT Administrator,-
166,Phone,HP IPHONE SE - BLACK,050-B/VI/2023,FFMDF05BPMFK,Unknown,,Unknown,Good,2026-09-14,2026-08-04,IT Administrator,-
167,Phone,SAMSUNG GALAXY A10S,052-B/VI/2023,R9CN800PV0J,Unknown,,Unknown,Good,2026-09-14,2026-07-04,IT Administrator,-
168,Phone,HP PHONE 11 PRO,054-B/VI/2023,F17ZM0K7N6YC,Unknown,,Unknown,Good,2026-09-14,2026-08-03,IT Administrator,-
169,Phone,SAMSUNG GALAXY A04 - GREEN,065-B/VI/2023,R9CW600942B,Unknown,,Unknown,Good,2023-07-16,2026-07-02,IT Administrator,-
170,Phone,SAMSUNG GALAXY A04 - BLACK,066-B/VI/2023,R9CW601EXDT,Unknown,,Unknown,Good,2023-07-20,2026-08-07,IT Administrator,-
171,Phone,SAMSUNG GALAXY A04 - BLACK,069-B/VI/2023,R9CW601EJ4Z,Unknown,,Unknown,Good,2023-07-20,2026-07-02,IT Administrator,-
172,Phone,SAMSUNG GALAXY A04 - COPPER,070-B/VI/2023,R9CW700BH1D,Unknown,,Unknown,Good,2023-07-20,2026-07-02,IT Administrator,-
173,Phone,SAMSUNG GALAXY A04 - COPPER,073-B/VI/2023,R9CW700BEXD,Unknown,,Unknown,Good,2023-07-20,2026-08-13,IT Administrator,-
174,Phone,SAMSUNG GALAXY A04 - BLACK,074-B/VI/2023,R9CW601EE4V,Unknown,,Unknown,Good,2023-07-20,2026-06-01,IT Administrator,-
175,Phone,SAMSUNG GALAXY A04 - COPPER,076-B/VI/2023,R9CW6025X8T,Unknown,,Unknown,Good,2023-07-20,2026-06-03,IT Administrator,-
176,Phone,SAMSUNG GALAXY A04 - COPPER,079-B/VI/2023,R9CW6025WMP,Unknown,,Unknown,Good,2023-07-20,2026-07-29,IT Administrator,-
177,Phone,SAMSUNG GALAXY A04 - BLACK,080-B/VI/2023,R9CW601ECND,Unknown,,Unknown,Good,2023-07-20,2026-06-01,IT Administrator,-
178,Phone,SAMSUNG GALAXY A04 - BLACK,001-B/IX/2023,R9CW6022Q0T,Unknown,,Unknown,Good,2023-09-12,2026-06-03,IT Administrator,-
179,Phone,SAMSUNG GALAXY A04 - COPPER,002-B/IX/2023,R9CW600TCTR,Unknown,,Unknown,Good,2023-09-12,2026-07-04,IT Administrator,-
180,Phone,SAMSUNG GALAXY A04 - BLACK,004-B/IX/2023,R9CW6022PHV,Unknown,,Unknown,Good,2023-09-12,2026-07-03,IT Administrator,-
181,Phone,SAMSUNG GALAXY A04 - GREEN,005-B/IX/2023,R9CW700ECSV,Unknown,,Unknown,Good,2023-09-12,2026-08-04,IT Administrator,-
182,Phone,SAMSUNG GALAXY A04E - LIGHT BLUE,006-B/XI/2023,R9RW900WH2H,Unknown,,Unknown,Good,2023-11-14,2026-08-07,IT Administrator,-
183,Phone,SAMSUNG GALAXY A04E - BLACK,007-B/XI/2023,R9RW604AXYN,Unknown,,Unknown,Good,2023-11-14,2026-08-13,IT Administrator,-
184,Phone,SAMSUNG GALAXY A04E - COPPER,008-B/XI/2023,R9RW700GCRK,Unknown,,Unknown,Good,2023-11-14,2026-05-11,IT Administrator,-
185,Phone,SAMSUNG GALAXY A04E - COPPER,010-B/XI/2023,R9RW3052GRJ,Unknown,,Unknown,Good,2023-11-14,2026-08-07,IT Administrator,-
186,Phone,SAMSUNG GALAXY A04E - COPPER,001-B/XII/2023,R9RW701TM8A,Unknown,,Unknown,Good,2023-12-13,2026-07-06,IT Administrator,-
187,Phone,SAMSUNG GALAXY A04E - LIGHT BLUE,002-B/XII/2023,R9RW801D1XX,Unknown,,Unknown,Good,2023-12-13,2026-05-15,IT Administrator,-
188,Phone,SAMSUNG GALAXY A04E - COPPER,003-B/XII/2023,R9RW701QKVR,Unknown,,Unknown,Good,2023-12-13,2026-06-01,IT Administrator,-
189,Phone,SAMSUNG GALAXY A04E - COPPER,004-B/XII/2023,R9RW901729E,Unknown,,Unknown,Good,2023-12-27,2026-08-07,IT Administrator,-
190,Phone,IPHONE 11 128GB - WHITE,001-B/I/2024,DX3LJ0N6N73F,Unknown,,Unknown,Good,2024-01-29,2026-07-23,IT Administrator,-
191,Phone,SAMSUNG GALAXY A04E - COPPER,001-B/II/2024,R9RW901679X,Unknown,,Unknown,Good,2024-02-07,2026-07-02,IT Administrator,-
192,Phone,IPAD MINI,063-B/VI/2023,DMPCH045LMV8,Unknown,,Unknown,Good,2024-02-08,2024-07-22,IT Administrator,-
193,Phone,SAMSUNG GALAXY A04E - BLACK,002-B/III/2024,R9RW702NRFJ,Unknown,,Unknown,Good,2024-03-01,2026-08-04,IT Administrator,-
194,Phone,SAMSUNG GALAXY A05 - GREEN,003-B/III/2024,R9CX105PZMR,Unknown,,Unknown,Good,2024-03-19,2026-04-24,IT Administrator,-
195,Phone,SAMSUNG GALAXY A05 - BLACK,004-B/III/2024,R9CX101875A,Unknown,,Unknown,Good,2024-03-19,2026-07-29,IT Administrator,-
196,Phone,SAMSUNG GALAXY A05 - GREEN,005-B/III/2024,R9CWC02N2CJ,Unknown,,Unknown,Good,2024-03-19,2026-07-02,IT Administrator,-
197,Phone,SAMSUNG GALAXY A05 - BLACK,008-B/III/2024,R9CX103MH7Y,Unknown,,Unknown,Good,2024-03-19,2026-07-03,IT Administrator,-
198,Phone,SAMSUNG GALAXY A05 - GREEN,003-B/IV/2024,R9CX1046CHD,Unknown,,Unknown,Good,2024-04-06,2026-08-13,IT Administrator,-
199,Phone,SAMSUNG GALAXY A05 - GREEN,002-B/IV/2024,R9CX201DQXL,Unknown,,Unknown,Good,2024-04-06,2026-08-13,IT Administrator,-
200,Phone,SAMSUNG GALAXY A05 - GREEN,001-B/V/2024,R9CX30E3PZV,Unknown,,Unknown,Good,2024-05-06,2026-08-07,IT Administrator,-
201,Phone,IPHONE 11 64GB - BLACK,003-B/V/2024,DX3L55TFN735,Unknown,,Unknown,Good,2024-05-07,2026-06-03,IT Administrator,-
202,Phone,SAMSUNG GALAXY A05 - BLACK,004-B/VI/2024,R9CX50EGMVJ,Unknown,,Unknown,Good,2024-06-07,2026-07-06,IT Administrator,-
203,Phone,SAMSUNG GALAXY A05 - BLACK,001-B/VI/2024,R9CX50ETM9R,Unknown,,Unknown,Good,2024-06-07,2026-07-06,IT Administrator,-
204,Phone,SAMSUNG GALAXY A05 - GREEN,002-B/VI/2024,R9CX404D28J,Unknown,,Unknown,Good,2024-06-07,2026-08-07,IT Administrator,-
205,Phone,SAMSUNG GALAXY A05 - SILVER,003-B/VI/2024,R9CX402CD2W,Unknown,,Unknown,Good,2024-06-07,2026-08-04,IT Administrator,-
206,Phone,SAMSUNG GALAXY A05 - SILVER,005-B/VI/2024,R9CX402AAMM,Unknown,,Unknown,Good,2024-06-07,2026-08-07,IT Administrator,-
207,Phone,SAMSUNG GALAXY A05 - SILVER,008-B/VI/2024,R9CX50TDHNW,Unknown,,Unknown,Good,2024-06-27,2026-05-29,IT Administrator,-
208,Phone,SAMSUNG GALAXY A13,010-B/VI/2024,RR8T500YBSW,Unknown,,Unknown,Good,2026-09-14,2026-05-31,IT Administrator,-
209,Phone,IPHONE 11,001-B/VII/2024,DX3K972YN73F,Unknown,,Unknown,Good,2026-09-14,2026-08-07,IT Administrator,-
210,Phone,SAMSUNG GALAXY A05 - GREEN,009-B/VI/2024,R9CX404D22Z,Unknown,,Unknown,Good,2024-06-27,2026-08-04,IT Administrator,-
211,Phone,SAMSUNG GALAXY A13,002-B/VII/2024,RR8T3078H7F,Unknown,,Unknown,Good,2026-09-14,2026-03-07,IT Administrator,-
212,Phone,IPHONE SE - BLACK,007-B/VII/2024,FFMDFD45PMFK,Unknown,,Unknown,Good,2026-09-14,2026-07-06,IT Administrator,-
213,Phone,SAMSUNG GALAXY A05 - BLACK,001-B/VIII/2024,R9CX704XQND,Unknown,,Unknown,Good,2024-08-02,2026-07-06,IT Administrator,-
214,Phone,SAMSUNG GALAXY A05,002-B/VIII/2024,R9CX700WRHW,Unknown,,Unknown,Good,2024-08-16,2025-11-27,IT Administrator,-
215,Phone,SAMSUNG GALAXY A05 - GREEN,003-B/VIII/2024,R9CX50TNBCW,Unknown,,Unknown,Good,2024-08-15,2026-07-03,IT Administrator,-
216,Phone,SAMSUNG GALAXY A05 - BLACK,005-B/VIII/2024,R9CX401FWQX,Unknown,,Unknown,Good,2024-08-15,2026-06-03,IT Administrator,-
